Line,Strat Time,End Time
"It's a distress signal,Rocket.","00:28:08,730 "," 00:28:10,357"
Someone could be dying.,"00:28:10,440 "," 00:28:11,441"
"I get that,but why are we doing it?","00:28:11,608 "," 00:28:13,693"
'Cause we're nice.,"00:28:13,860 "," 00:28:15,653"
And maybe whoever it is,"00:28:15,820 "," 00:28:16,821"
will give us a littlecheddar cheese for our effort.,"00:28:16,905 "," 00:28:18,573"
 Which isn't the point. Which isn't the point.,"00:28:18,740 "," 00:28:21,076"
"I mean,if he doesn't pony up...","00:28:21,242 "," 00:28:22,952"
We take his ship.,"00:28:23,119 "," 00:28:24,162"
 Exactly! Bingo!,"00:28:24,329 "," 00:28:25,997"
All right!,"00:28:26,081 "," 00:28:27,207"
We are arriving.,"00:28:30,377 "," 00:28:31,836"
"All right, Guardians,","00:28:32,253 "," 00:28:33,254"
don't forgetthis might be dangerous...,"00:28:33,338 "," 00:28:34,464"
so let's put onour mean faces.,"00:28:34,631 "," 00:28:36,925"
"Groot, put thatthing away, now.","00:28:42,180 "," 00:28:43,723"
I don't wanna tell you again.,"00:28:43,807 "," 00:28:44,808"
Groot.,"00:28:44,891 "," 00:28:46,017"
I am Groot!,"00:28:46,184 "," 00:28:47,310"
 Whoa! Language!,"00:28:47,394 "," 00:28:48,395"
 Hey! Wow.,"00:28:48,520 "," 00:28:49,854"
"You got someacorns on you, kid.","00:28:50,021 "," 00:28:51,689"
"Ever sinceyou got a little sap,","00:28:51,856 "," 00:28:53,400"
you're a total dhole.,"00:28:53,483 "," 00:28:54,484"
"Now, keep it up, and I'm gonnasmash that thing to pieces.","00:28:55,443 "," 00:28:58,696"
What happened?,"00:29:05,620 "," 00:29:07,163"
"Oh, my God.","00:29:11,209 "," 00:29:12,544"
Looks likewe're not getting paid.,"00:29:18,133 "," 00:29:19,884"
Wipers! Wipers!,"00:29:22,137 "," 00:29:24,097"
Get it off.,"00:29:24,264 "," 00:29:25,557"
How the hellis this dude still alive?,"00:29:32,230 "," 00:29:34,983"
He is not a dude.,"00:29:35,150 "," 00:29:36,943"
You're a dude.,"00:29:37,110 "," 00:29:38,653"
This... This is a man.,"00:29:38,987 "," 00:29:42,031"
"A handsome, muscular man.","00:29:42,407 "," 00:29:45,160"
I'm muscular.,"00:29:45,326 "," 00:29:46,327"
"But who are youkidding, Quill?","00:29:46,411 "," 00:29:47,412"
You're one sandwichaway from fat.,"00:29:47,495 "," 00:29:48,872"
"Yeah, right.","00:29:48,955 "," 00:29:49,956"
"It's true, Quill.You have put on weight.","00:29:50,039 "," 00:29:51,541"
What?,"00:29:51,624 "," 00:29:52,959"
"Gamora, do you think I'm...","00:29:54,919 "," 00:29:56,754"
"He is anxious, angry.","00:29:59,048 "," 00:30:02,635"
He feelstremendous loss and guilt.,"00:30:02,802 "," 00:30:05,680"
It's like a pirate had a babywith an angel.,"00:30:06,556 "," 00:30:09,309"
Wow.,"00:30:09,392 "," 00:30:10,477"
This is a real wakeup callfor me. Okay.,"00:30:10,560 "," 00:30:12,437"
I'm gonna get a Bowflex.I'm gonna commit.,"00:30:12,604 "," 00:30:15,315"
I'm gonna get some dumbbells.,"00:30:15,482 "," 00:30:16,483"
"You know you can'teat dumbbells, right?","00:30:16,608 "," 00:30:17,942"
It's like his muscles,"00:30:18,109 "," 00:30:19,319"
are madeof Cotati metal fibers.,"00:30:19,402 "," 00:30:21,321"
