Speaker,Line
Natasha Romanoff,"Five years ago I was escorting a nuclear engineer out of Iran, somebody shot out my tires near Odessa. We lost control, went straight over a cliff, I pulled us out, but the Winter Soldier was there. I was covering my engineer, so he shot him straight through me. Soviet slug, no rifling. Bye-bye bikinis."
Steve Rogers,"Yeah, I bet you look terrible in them now."
Natasha Romanoff,"Going after him is a dead end. I know, Ive tried. Like you said, hes a ghost story."
Steve Rogers,"Well, lets find out what the ghost wants."
Alexander Pierce,"Nick Fury was murdered in cold blood. To any reasonable person, that would make him a martyr, not a traitor."
Councilman Rockwell,You know what makes him a traitor. Hiring a mercenary to hijack his own ship.
Councilman Singh,"Nick Fury used your friendship to coerce this council into delaying Project Insight. A project he knew would expose his own illegal operations. At best, he lied to you. At worst."
Alexander Pierce,Are you calling for my resignation. Ive got a pen and paper right here.
Councilwoman Hawley,That discussion can be tabled for a later time.
Alexander Pierce,But you do want to have a discussion.
Councilman Rockwell,"Weve already had it, Mr Secretary. This council moves to immediately reactivate Project Insight. If you want to say something snappy, now would be a good time."
Natasha Romanoff,"First rule of going on the run is, dont run, walk."
Steve Rogers,"If I run in these shoes, theyre gonna fall off."
Natasha Romanoff,"The drive has a Level Six homing program, so as soon as we boot up SHIELD will know exactly where we are."
Steve Rogers,How much time do we have.
Natasha Romanoff,"Uh.about nine minutes from. Now. Fury was right about that ship, somebodys trying to hide something. This drive is protected by some sort of AI, it keeps rewriting itself to counter my commands."
Steve Rogers,Can you override it.
Natasha Romanoff,"The person who developed this is slightly smarter than me. Slightly. Im gonna try running a tracer. This is a program that SHIELD developed to track hostile malware, so if we cant read the file, maybe we can find out where it came from."
Apple Employee,Can I help you guys with anything.
Natasha Romanoff,"Oh, no. My fiancé was just helping me with some honeymoon destinations."
Steve Rogers,Right. Were getting married.
Apple Employee,Congratulations. Where do you guys thinking about going.
Steve Rogers,New Jersey.
Apple Employee,Oh. I have the exact same glasses.
Natasha Romanoff,"Wow, you two are practically twins."
Apple Employee,"Yeah, I wish. Specimen. Uh.if you guys need anything, Ive been Aaron."
Steve Rogers,"Thank you. You said nine minutes, come on."
Natasha Romanoff,"Shh, relax. Got it. You know it."
Steve Rogers,"I used to. Lets go. Standard tac-team. Two behind, to across, two coming straight at us. If they make us, Ill engage, you hit the south escalator to the metro."
Natasha Romanoff,"Shut up and put your arm around me, laugh at something I said."
Steve Rogers,What.
Natasha Romanoff,Do it.
Jack Rollins,Negative at the source.
Brock Rumlow,Give me a floor rundown.
SHIELD Agent #2,Negative on three.
SHIELD Agent #3,Negative on two.
Brock Rumlow,"Snake the upper levels, work down to me."
Natasha Romanoff,Kiss me.
Steve Rogers,What.
Natasha Romanoff,Public displays of affection make people very uncomfortable.
Steve Rogers,"Yes, they do."
Natasha Romanoff,You still uncomfortable.
Steve Rogers,Its not exactly the word I would use.
Natasha Romanoff,Where did Captain America learn how to steal a car.
Steve Rogers,Nazi Germany.
