Line,Strat Time,End Time
Hold that thought.,"00:27:32,901 "," 00:27:33,901"
"Look at you,still all muscly and everything.","00:27:35,321 "," 00:27:38,906"
How's space?,"00:27:38,991 "," 00:27:40,658"
Space is fine.,"00:27:40,743 "," 00:27:42,869"
Excuse me.,"00:27:42,995 "," 00:27:44,245"
 Are you Jane Foster? Yes.,"00:27:44,413 "," 00:27:45,496"
Do you know this man?,"00:27:45,581 "," 00:27:46,581"
He's my intern.,"00:27:48,125 "," 00:27:49,250"
My intern's intern.,"00:27:50,419 "," 00:27:51,586"
"This is private propertyand you're trespassing, the lot of you.","00:27:51,712 "," 00:27:53,713"
You'll have to come with me.,"00:27:53,797 "," 00:27:55,089"
Jane.,"00:28:00,888 "," 00:28:01,888"
 Jane. Thor?,"00:28:02,681 "," 00:28:04,640"
Are you all right?,"00:28:04,975 "," 00:28:05,975"
What just happened?,"00:28:06,185 "," 00:28:07,352"
Place your handson your heads. Step back.,"00:28:07,936 "," 00:28:10,438"
This woman is unwell.,"00:28:10,522 "," 00:28:11,564"
She's dangerous.,"00:28:11,648 "," 00:28:12,648"
So am I.,"00:28:13,650 "," 00:28:14,984"
Requesting armed response officersto scene.,"00:28:15,986 "," 00:28:18,112"
 Hold on to me. What are you doing?,"00:28:18,489 "," 00:28:20,114"
Holy shit.,"00:28:28,457 "," 00:28:30,500"
We have to do that again.,"00:28:57,986 "," 00:29:00,029"
Hi.,"00:29:00,489 "," 00:29:01,489"
Welcome to Asgard.,"00:29:04,326 "," 00:29:06,494"
"Look upon my legacy, Algrim.","00:29:27,933 "," 00:29:30,518"
I can barely remember a timebefore the light.,"00:29:32,354 "," 00:29:34,730"
Our survival will be your legacy.,"00:29:35,482 "," 00:29:38,651"
The Asgardians will sufferas we have suffered.,"00:29:40,612 "," 00:29:44,282"
I will reclaim the Aether.,"00:29:44,366 "," 00:29:45,616"
I will restore our world.,"00:29:45,701 "," 00:29:46,951"
And I will put an endto this poisoned universe.,"00:29:47,035 "," 00:29:49,745"
What's that?,"00:29:58,046 "," 00:29:59,046"
Be still.,"00:29:59,131 "," 00:30:00,173"
This is not of Earth. What is it?,"00:30:07,723 "," 00:30:10,099"
We do not know.,"00:30:10,893 "," 00:30:12,560"
But she will not survive theamount of energy surging within her.,"00:30:13,270 "," 00:30:17,231"
"That's a quantum field generator,isn't it?","00:30:22,779 "," 00:30:24,405"
It's a soul forge.,"00:30:25,073 "," 00:30:26,908"
Does a soul forge transfer molecularenergy from one place to another?,"00:30:27,034 "," 00:30:30,244"
Yes.,"00:30:33,123 "," 00:30:34,165"
Quantum field generator.,"00:30:34,291 "," 00:30:36,042"
My words are mere noises to youthat you ignore them completely?,"00:30:37,169 "," 00:30:40,087"
She is ill.,"00:30:40,255 "," 00:30:41,380"
She is mortal.,"00:30:41,507 "," 00:30:43,758"
Illness is their defining trait.,"00:30:43,926 "," 00:30:45,468"
I brought her herebecause we can help her.,"00:30:45,594 "," 00:30:47,220"
She does not belong here in Asgard,"00:30:47,304 "," 00:30:49,222"
any more than a goatbelongs at a banquet table.,"00:30:49,389 "," 00:30:52,767"
Did he just...,"00:30:52,935 "," 00:30:54,519"
Who do you think you are?,"00:30:54,603 "," 00:30:56,187"
"I am Odin, King of Asgard.","00:30:56,271 "," 00:30:58,814"
Protector of the Nine Realms.,"00:30:58,982 "," 00:31:00,525"
"Oh. Well, I'm...","00:31:01,401 "," 00:31:03,277"
"I know very well who you are,Jane Foster.","00:31:03,445 "," 00:31:06,280"
You told your dad about me?,"00:31:07,241 "," 00:31:08,616"
"Something is within her, Father.","00:31:09,493 "," 00:31:10,952"
Something I have not seen before.,"00:31:11,078 "," 00:31:12,245"
Her world has its healers.,"00:31:12,412 "," 00:31:13,621"
They are called doctors.Let them deal with it.,"00:31:13,747 "," 00:31:15,623"
"Guards, take her back to Midgard.","00:31:15,791 "," 00:31:17,583"
"No, I would not...","00:31:18,961 "," 00:31:20,461"
...touch her.,"00:31:22,297 "," 00:31:23,381"
"Jane, are you all right?","00:31:23,507 "," 00:31:24,799"
Yeah.,"00:31:25,342 "," 00:31:26,467"
It's impossible.,"00:31:30,180 "," 00:31:31,430"
The infection... It's defending her.,"00:31:32,641 "," 00:31:35,393"
No.,"00:31:36,019 "," 00:31:37,311"
It's defending itself.,"00:31:37,813 "," 00:31:39,480"
Come with me.,"00:31:40,524 "," 00:31:42,525"
There are relicsthat predate the universe itself.,"00:31:42,651 "," 00:31:46,445"
What lies within herappears to be one of them.,"00:31:46,613 "," 00:31:50,491"
The Nine Realms are not eternal.,"00:31:51,493 "," 00:31:53,995"
They had a dawn,"00:31:54,162 "," 00:31:55,329"
as they will have a dusk.,"00:31:55,497 "," 00:31:56,664"
But before that dawn,"00:31:58,000 "," 00:31:59,000"
"the dark forces, the Dark Elves,reigned absolute and unchallenged.","00:31:59,167 "," 00:32:05,506"
Born of eternal night,"00:32:07,467 "," 00:32:08,759"
the Dark Elves cometo steal away the light.,"00:32:08,885 "," 00:32:11,721"
I know these stories.Mother told them to us as children.,"00:32:12,180 "," 00:32:15,600"
Their leader Malekith made a weaponout of that darkness,"00:32:15,684 "," 00:32:18,936"
and it was called the Aether.,"00:32:19,021 "," 00:32:20,605"
While the other relicsoften appear as stones,"00:32:20,689 "," 00:32:23,733"
the Aether is fluid and everchanging.,"00:32:23,817 "," 00:32:26,485"
It changes matter into dark matter.,"00:32:26,653 "," 00:32:29,238"
"It seeks out host bodies,drawing strength from their lifeforce.","00:32:29,364 "," 00:32:32,950"
Malekith sought to usethe Aether's power,"00:32:34,202 "," 00:32:37,163"
to return the universeto one of darkness.,"00:32:37,331 "," 00:32:41,083"
"But, after eternities of bloodshed","00:32:41,752 "," 00:32:44,378"
my father Bor finally triumphed,"00:32:44,463 "," 00:32:47,048"
ushering in a peacethat lasted thousands of years.,"00:32:47,215 "," 00:32:51,719"
What happened?,"00:32:52,721 "," 00:32:53,888"
